24	 48	 3
0	1	67645	86646
1	1	67645	86646
2	1	67645	86632
3	1	67645	86668
4	1	67645	88249
5	1	67645	91557
6	1	67645	93697
7	1	67645	95539
8	1	67645	95788
9	1	67645	96122
10	1	67645	95143
11	1	67645	95027
12	1	67645	93284
13	1	67645	90965
14	1	67645	89868
15	1	67645	86071
16	1	67645	82261
17	1	67645	79327
18	1	67645	77743
19	1	67645	76821
20	1	67645	75468
21	1	67645	74350
22	1	67645	73404
23	1	67645	72435
24	1	67645	70673
25	1	67645	70105
26	1	67645	69666
27	1	67645	68507
28	1	67645	67834
29	1	67645	67335
30	1	67645	66485
31	1	67645	65573
32	1	67645	65475
33	1	67645	64808
34	1	67645	64490
35	1	67645	64053
36	1	67645	64020
37	1	67645	63706
38	1	67645	63506
39	1	67645	63029
40	1	67645	62877
41	1	67645	61942
42	1	67645	61920
43	1	67645	61767
44	1	67645	60912
45	1	67645	60834
46	1	67645	60559
47	1	67645	60502
48	1	67645	60351
49	1	67645	59934
50	1	67645	59917
51	1	67645	59887
52	1	67645	59307
53	1	67645	59187
54	1	67645	58826
55	1	67645	58358
56	1	67645	57886
57	1	67645	57849
58	1	67645	57453
59	1	67645	57407
60	1	67645	57068
61	1	67645	56482
62	1	67645	56305
63	1	67645	55970
64	1	67645	55461
65	1	67645	54955
66	1	67645	54677
67	1	67645	54192
68	1	67645	53691
69	1	67645	53329
70	1	67645	52687
71	1	67645	52629
72	1	67645	52108
73	1	67645	51693
74	1	67645	50712
75	1	67645	50659
76	1	67645	49823
77	1	67645	49075
78	1	67645	48640
79	1	67645	48082
80	1	67645	47488
81	1	67645	46339
82	1	67645	46191
83	1	67645	45222
84	1	67645	44150
85	1	67645	43271
86	1	67645	42244
87	1	67645	40944
88	1	67645	39754
89	1	67645	38692
90	1	67645	37461
91	1	67645	35756
92	1	67645	34411
93	1	67645	32810
94	1	67645	30736
95	1	67645	29031
96	1	67645	26280
97	1	67645	23711
98	1	67645	21504
99	1	67645	19254
100	1	67645	17692
0	2	67384	86172
1	2	67384	86172
2	2	67384	86166
3	2	67384	86360
4	2	67384	88432
5	2	67384	90683
6	2	67384	93632
7	2	67384	95785
8	2	67384	95580
9	2	67384	95530
10	2	67384	94809
11	2	67384	94786
12	2	67384	93182
13	2	67384	89767
14	2	67384	88995
15	2	67384	85302
16	2	67384	81796
17	2	67384	78718
18	2	67384	76900
19	2	67384	76090
20	2	67384	74940
21	2	67384	73895
22	2	67384	73279
23	2	67384	71925
24	2	67384	70634
25	2	67384	70005
26	2	67384	69172
27	2	67384	68492
28	2	67384	67470
29	2	67384	66801
30	2	67384	66137
31	2	67384	65731
32	2	67384	65370
33	2	67384	64538
34	2	67384	64742
35	2	67384	63966
36	2	67384	63812
37	2	67384	63512
38	2	67384	62840
39	2	67384	62407
40	2	67384	62026
41	2	67384	61869
42	2	67384	61584
43	2	67384	61323
44	2	67384	60823
45	2	67384	60810
46	2	67384	60690
47	2	67384	60676
48	2	67384	60416
49	2	67384	59701
50	2	67384	59680
51	2	67384	59675
52	2	67384	59056
53	2	67384	58594
54	2	67384	58271
55	2	67384	58144
56	2	67384	57741
57	2	67384	57386
58	2	67384	57210
59	2	67384	56802
60	2	67384	56497
61	2	67384	56674
62	2	67384	56295
63	2	67384	55450
64	2	67384	55238
65	2	67384	54788
66	2	67384	54783
67	2	67384	54418
68	2	67384	53936
69	2	67384	53731
70	2	67384	52820
71	2	67384	52495
72	2	67384	52176
73	2	67384	51418
74	2	67384	50926
75	2	67384	50617
76	2	67384	50301
77	2	67384	49043
78	2	67384	48458
79	2	67384	47602
80	2	67384	47104
81	2	67384	46054
82	2	67384	45404
83	2	67384	44309
84	2	67384	43857
85	2	67384	42769
86	2	67384	41574
87	2	67384	40649
88	2	67384	39332
89	2	67384	38430
90	2	67384	37294
91	2	67384	35841
92	2	67384	34699
93	2	67384	32601
94	2	67384	30759
95	2	67384	28557
96	2	67384	26229
97	2	67384	23478
98	2	67384	21060
99	2	67384	17783
100	2	67384	14840
0	3	67124	86112
1	3	67124	86112
2	3	67124	86081
3	3	67124	85873
4	3	67124	88812
5	3	67124	91180
6	3	67124	93299
7	3	67124	95563
8	3	67124	95773
9	3	67124	94623
10	3	67124	94222
11	3	67124	93793
12	3	67124	91220
13	3	67124	88708
14	3	67124	87574
15	3	67124	84394
16	3	67124	80241
17	3	67124	76810
18	3	67124	76434
19	3	67124	75905
20	3	67124	74731
21	3	67124	73352
22	3	67124	72651
23	3	67124	71804
24	3	67124	70878
25	3	67124	69988
26	3	67124	68665
27	3	67124	68228
28	3	67124	67512
29	3	67124	66920
30	3	67124	66512
31	3	67124	65824
32	3	67124	65129
33	3	67124	64701
34	3	67124	64323
35	3	67124	63866
36	3	67124	63382
37	3	67124	63266
38	3	67124	62138
39	3	67124	62056
40	3	67124	62189
41	3	67124	61554
42	3	67124	61210
43	3	67124	61058
44	3	67124	60753
45	3	67124	60424
46	3	67124	60157
47	3	67124	59837
48	3	67124	59974
49	3	67124	59479
50	3	67124	59229
51	3	67124	59225
52	3	67124	58596
53	3	67124	58471
54	3	67124	58075
55	3	67124	57970
56	3	67124	57391
57	3	67124	57360
58	3	67124	56790
59	3	67124	56568
60	3	67124	56086
61	3	67124	55688
62	3	67124	55614
63	3	67124	55314
64	3	67124	55179
65	3	67124	54509
66	3	67124	54273
67	3	67124	53754
68	3	67124	53333
69	3	67124	53189
70	3	67124	52668
71	3	67124	52030
72	3	67124	51850
73	3	67124	51374
74	3	67124	50772
75	3	67124	50424
76	3	67124	49850
77	3	67124	48902
78	3	67124	48292
79	3	67124	47863
80	3	67124	47305
81	3	67124	45957
82	3	67124	45216
83	3	67124	44244
84	3	67124	43664
85	3	67124	42903
86	3	67124	41323
87	3	67124	40544
88	3	67124	39569
89	3	67124	38530
